order_id,product_id,unit_price,quantity,Total_Price
10248,11,14,12,168
10248,42,9.80000019,10,98.0000019
10248,72,34.7999992,5,173.999996
10249,14,18.6000004,9,167.4000036
10249,51,42.4000015,40,1696.00006
10250,41,7.69999981,10,76.9999981
10250,51,42.4000015,35,1484.0000525
10250,65,16.7999992,15,251.99998799999997
10251,22,16.7999992,6,100.79999519999998
10251,57,15.6000004,15,234.000006
10251,65,16.7999992,20,335.999984
10252,20,64.8000031,40,2592.000124
10252,33,2,25,50
10252,60,27.2000008,40,1088.0000320000001
10253,31,10,20,200
10253,39,14.3999996,42,604.7999831999999
10253,49,16,40,640
10254,24,3.5999999,15,53.9999985
10254,55,19.2000008,21,403.2000168
10254,74,8,21,168
10255,2,15.1999998,20,303.999996
10255,16,13.8999996,35,486.499986
10255,36,15.1999998,25,379.999995
10255,59,44,30,1320
10256,53,26.2000008,15,393.000012
10256,77,10.3999996,12,124.79999519999998
10257,27,35.0999985,25,877.4999624999999
10257,39,14.3999996,6,86.39999759999999
10257,77,10.3999996,15,155.999994
10258,2,15.1999998,50,759.99999
10258,5,17,65,1105
10258,32,25.6000004,6,153.6000024
10259,21,8,10,80
10259,37,20.7999992,1,20.7999992
10260,41,7.69999981,16,123.19999696
10260,57,15.6000004,50,780.0000200000001
10260,62,39.4000015,15,591.0000225
10260,70,12,21,252
10261,21,8,20,160
10261,35,14.3999996,20,287.99999199999996
10262,5,17,12,204
10262,7,24,15,360
10262,56,30.3999996,2,60.7999992
10263,16,13.8999996,60,833.999976
10263,24,3.5999999,28,100.79999719999999
10263,30,20.7000008,60,1242.000048
10263,74,8,36,288
10264,2,15.1999998,35,531.999993
10264,41,7.69999981,25,192.49999524999998
10265,17,31.2000008,30,936.000024
10265,70,12,20,240
10266,12,30.3999996,12,364.7999952
10267,40,14.6999998,50,734.99999
10267,59,44,70,3080
10267,76,14.3999996,15,215.999994
10268,29,99,10,990
10268,72,27.7999992,4,111.1999968
10269,33,2,60,120
10269,72,27.7999992,20,555.9999839999999
10270,36,15.1999998,30,455.999994
